,0,1,2,3,>4,name
Q246672,0.5,0.35294117647058826,0.11764705882352941,0.029411764705882353,0.0,mathematical object
Q7551384,0.5,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.08823529411764706,social space
Q294440,0.5,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.08823529411764706,public space
Q11755880,0.6470588235294118,0.29411764705882354,0.0,0.058823529411764705,0.0,residential building
Q3947,0.6470588235294118,0.29411764705882354,0.0,0.058823529411764705,0.0,house
Q699405,0.6470588235294118,0.29411764705882354,0.0,0.058823529411764705,0.0,residence
Q9826,0.4117647058823529,0.29411764705882354,0.029411764705882353,0.029411764705882353,0.23529411764705882,high school
Q1496967,0.5,0.2647058823529412,0.14705882352941177,0.0,0.08823529411764706,territorial entity
Q1030034,0.6176470588235294,0.2647058823529412,0.11764705882352941,0.0,0.0,GLAM
Q7075,0.7058823529411765,0.2647058823529412,0.029411764705882353,0.0,0.0,library
Q62626341,0.6176470588235294,0.2647058823529412,0.11764705882352941,0.0,0.0,cultural organization
Q58778,0.5588235294117647,0.2647058823529412,0.08823529411764706,0.0,0.08823529411764706,system
Q20719696,0.6176470588235294,0.2647058823529412,0.08823529411764706,0.0,0.029411764705882353,physico-geographical object
Q5193377,0.6176470588235294,0.2647058823529412,0.11764705882352941,0.0,0.0,cultural institution
Q107425,0.6764705882352942,0.23529411764705882,0.058823529411764705,0.0,0.029411764705882353,landscape
Q340169,0.17647058823529413,0.23529411764705882,0.029411764705882353,0.058823529411764705,0.5,communication medium
Q17008256,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,collection
Q1454986,0.6176470588235294,0.23529411764705882,0.058823529411764705,0.0,0.08823529411764706,physical system
Q11081619,0.6764705882352942,0.23529411764705882,0.058823529411764705,0.0,0.029411764705882353,land
Q121359,0.6176470588235294,0.23529411764705882,0.058823529411764705,0.0,0.08823529411764706,infrastructure
Q286583,0.17647058823529413,0.23529411764705882,0.029411764705882353,0.058823529411764705,0.5,manifestation
Q22652,0.6764705882352942,0.23529411764705882,0.058823529411764705,0.0,0.029411764705882353,green space
Q23958946,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.4117647058823529,individual
Q618123,0.14705882352941177,0.23529411764705882,0.11764705882352941,0.14705882352941177,0.35294117647058826,geographical object
Q205895,0.6764705882352942,0.23529411764705882,0.058823529411764705,0.0,0.029411764705882353,landmass
Q1438040,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,research library
Q1546583,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,presidential library
Q2052886,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,parliamentary library
Q385994,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,special library
Q41176,0.38235294117647056,0.23529411764705882,0.20588235294117646,0.08823529411764706,0.08823529411764706,building
Q159334,0.4117647058823529,0.23529411764705882,0.08823529411764706,0.029411764705882353,0.23529411764705882,secondary school
Q376799,0.6176470588235294,0.23529411764705882,0.058823529411764705,0.0,0.08823529411764706,transport infrastructure
Q3914,0.4117647058823529,0.23529411764705882,0.08823529411764706,0.029411764705882353,0.23529411764705882,school
Q217594,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,class (set theory)
Q1454188,0.6764705882352942,0.23529411764705882,0.058823529411764705,0.0,0.029411764705882353,free area
Q9158768,0.7352941176470589,0.23529411764705882,0.029411764705882353,0.0,0.0,storage
Q36161,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,set
Q494756,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,data
Q178706,0.2647058823529412,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.2647058823529412,institution
Q42848,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,data
Q5469988,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.0,0.0,formalization
Q20817253,0.7647058823529411,0.20588235294117646,0.029411764705882353,0.0,0.0,linguistic unit
Q5915039,0.29411764705882354,0.20588235294117646,0.20588235294117646,0.058823529411764705,0.23529411764705882,inconstancy
Q975783,0.17647058823529413,0.20588235294117646,0.11764705882352941,0.20588235294117646,0.29411764705882354,estate in land
Q714737,0.17647058823529413,0.20588235294117646,0.14705882352941177,0.17647058823529413,0.29411764705882354,category of being
Q937228,0.17647058823529413,0.20588235294117646,0.14705882352941177,0.17647058823529413,0.29411764705882354,property
Q2385804,0.4117647058823529,0.20588235294117646,0.11764705882352941,0.029411764705882353,0.23529411764705882,educational institution
Q35145743,0.17647058823529413,0.20588235294117646,0.11764705882352941,0.20588235294117646,0.29411764705882354,human-made landform
Q3769299,0.7647058823529411,0.20588235294117646,0.029411764705882353,0.0,0.0,human behaviour
Q194980,0.6470588235294118,0.20588235294117646,0.11764705882352941,0.0,0.029411764705882353,intangible good
Q2424752,0.17647058823529413,0.20588235294117646,0.058823529411764705,0.058823529411764705,0.5,product
Q811979,0.17647058823529413,0.20588235294117646,0.11764705882352941,0.20588235294117646,0.29411764705882354,architectural structure
Q22698,0.7058823529411765,0.20588235294117646,0.058823529411764705,0.0,0.029411764705882353,park
Q1786828,0.7647058823529411,0.20588235294117646,0.029411764705882353,0.0,0.0,constituent
Q732577,0.29411764705882354,0.20588235294117646,0.11764705882352941,0.11764705882352941,0.2647058823529412,publication
Q1080794,0.6764705882352942,0.20588235294117646,0.029411764705882353,0.029411764705882353,0.058823529411764705,state school
Q16889133,0.17647058823529413,0.20588235294117646,0.08823529411764706,0.08823529411764706,0.4411764705882353,class
