class,confidence
mathematical object,34.28571428571429
social space,31.428571428571427
public space,31.428571428571427
residence,28.57142857142857
residential building,28.57142857142857
house,28.57142857142857
physico-geographical object,28.57142857142857
high school,28.57142857142857
library,25.71428571428571
system,25.71428571428571
