s,c,id
http://www.wikidata.org/entity/Q89778,8,Q89778
http://www.wikidata.org/entity/Q89794,62,Q89794
http://www.wikidata.org/entity/Q89938,6,Q89938
http://www.wikidata.org/entity/Q79007,364117,Q79007
http://www.wikidata.org/entity/Q90754,84,Q90754
http://www.wikidata.org/entity/Q90786,27,Q90786
http://www.wikidata.org/entity/Q91028,43,Q91028
http://www.wikidata.org/entity/Q91122,179,Q91122
http://www.wikidata.org/entity/Q91165,93,Q91165
http://www.wikidata.org/entity/Q91203,338,Q91203
http://www.wikidata.org/entity/Q91285,82,Q91285
http://www.wikidata.org/entity/Q91312,140,Q91312
http://www.wikidata.org/entity/Q91752,109,Q91752
http://www.wikidata.org/entity/Q91818,7,Q91818
http://www.wikidata.org/entity/Q92069,49,Q92069
http://www.wikidata.org/entity/Q92026,1595,Q92026
http://www.wikidata.org/entity/Q92062,637,Q92062
http://www.wikidata.org/entity/Q92107,33,Q92107
http://www.wikidata.org/entity/Q92086,1257,Q92086
http://www.wikidata.org/entity/Q92383,21,Q92383
http://www.wikidata.org/entity/Q93165,11,Q93165
http://www.wikidata.org/entity/Q93190,10,Q93190
http://www.wikidata.org/entity/Q93204,56,Q93204
http://www.wikidata.org/entity/Q93249,46,Q93249
http://www.wikidata.org/entity/Q93267,103,Q93267
http://www.wikidata.org/entity/Q93288,297,Q93288
http://www.wikidata.org/entity/Q93301,6,Q93301
http://www.wikidata.org/entity/Q93344,12,Q93344
http://www.wikidata.org/entity/Q93352,238,Q93352
http://www.wikidata.org/entity/Q93661,19,Q93661
http://www.wikidata.org/entity/Q93184,21595,Q93184
http://www.wikidata.org/entity/Q94524,35,Q94524
http://www.wikidata.org/entity/Q94920,9,Q94920
http://www.wikidata.org/entity/Q94951,82,Q94951
http://www.wikidata.org/entity/Q95074,12931,Q95074
http://www.wikidata.org/entity/Q95723,27,Q95723
http://www.wikidata.org/entity/Q101072,72,Q101072
http://www.wikidata.org/entity/Q101244,103,Q101244
http://www.wikidata.org/entity/Q101487,22,Q101487
http://www.wikidata.org/entity/Q101497,100,Q101497
http://www.wikidata.org/entity/Q101401,5512,Q101401
http://www.wikidata.org/entity/Q101600,560,Q101600
http://www.wikidata.org/entity/Q101659,2041,Q101659
http://www.wikidata.org/entity/Q101843,12,Q101843
http://www.wikidata.org/entity/Q101687,6825,Q101687
http://www.wikidata.org/entity/Q101965,134,Q101965
http://www.wikidata.org/entity/Q101998,29,Q101998
http://www.wikidata.org/entity/Q102047,128,Q102047
http://www.wikidata.org/entity/Q102356,1717,Q102356
http://www.wikidata.org/entity/Q102538,51,Q102538
http://www.wikidata.org/entity/Q102786,135,Q102786
http://www.wikidata.org/entity/Q102496,12879,Q102496
http://www.wikidata.org/entity/Q103076,17,Q103076
http://www.wikidata.org/entity/Q103163,6,Q103163
http://www.wikidata.org/entity/Q103632,254,Q103632
http://www.wikidata.org/entity/Q103665,16,Q103665
http://www.wikidata.org/entity/Q103808,7,Q103808
http://www.wikidata.org/entity/Q103817,268,Q103817
http://www.wikidata.org/entity/Q103903,441,Q103903
http://www.wikidata.org/entity/Q104083,15,Q104083
http://www.wikidata.org/entity/Q104157,113,Q104157
http://www.wikidata.org/entity/Q104251,12,Q104251
http://www.wikidata.org/entity/Q104526,6,Q104526
http://www.wikidata.org/entity/Q104698,22,Q104698
http://www.wikidata.org/entity/Q104843,85,Q104843
http://www.wikidata.org/entity/Q104851,10,Q104851
http://www.wikidata.org/entity/Q104934,6,Q104934
http://www.wikidata.org/entity/Q105000,45,Q105000
http://www.wikidata.org/entity/Q105131,34,Q105131
http://www.wikidata.org/entity/Q105210,29,Q105210
http://www.wikidata.org/entity/Q105190,1131,Q105190
http://www.wikidata.org/entity/Q105420,326,Q105420
http://www.wikidata.org/entity/Q105447,58,Q105447
http://www.wikidata.org/entity/Q105769,6,Q105769
http://www.wikidata.org/entity/Q105731,1863,Q105731
http://www.wikidata.org/entity/Q105880,9,Q105880
http://www.wikidata.org/entity/Q105985,25,Q105985
http://www.wikidata.org/entity/Q105999,703,Q105999
http://www.wikidata.org/entity/Q106106,556,Q106106
http://www.wikidata.org/entity/Q106259,2286,Q106259
http://www.wikidata.org/entity/Q106658,659,Q106658
http://www.wikidata.org/entity/Q106833,19,Q106833
http://www.wikidata.org/entity/Q107390,27,Q107390
http://www.wikidata.org/entity/Q107425,172,Q107425
http://www.wikidata.org/entity/Q107444,6,Q107444
http://www.wikidata.org/entity/Q107706,8,Q107706
http://www.wikidata.org/entity/Q107711,8,Q107711
http://www.wikidata.org/entity/Q107715,209,Q107715
http://www.wikidata.org/entity/Q107679,5521,Q107679
http://www.wikidata.org/entity/Q107968,73,Q107968
http://www.wikidata.org/entity/Q108163,9,Q108163
http://www.wikidata.org/entity/Q108689,31,Q108689
http://www.wikidata.org/entity/Q108696,50,Q108696
http://www.wikidata.org/entity/Q108709,28,Q108709
http://www.wikidata.org/entity/Q108325,24286,Q108325
http://www.wikidata.org/entity/Q109391,39,Q109391
http://www.wikidata.org/entity/Q101352,258349,Q101352
http://www.wikidata.org/entity/Q109607,3182,Q109607
http://www.wikidata.org/entity/Q109940,33,Q109940
http://www.wikidata.org/entity/Q110145,27,Q110145
http://www.wikidata.org/entity/Q110874,111,Q110874
http://www.wikidata.org/entity/Q111161,212,Q111161
http://www.wikidata.org/entity/Q111698,6,Q111698
http://www.wikidata.org/entity/Q112014,51,Q112014
http://www.wikidata.org/entity/Q112099,52,Q112099
http://www.wikidata.org/entity/Q112110,11,Q112110
http://www.wikidata.org/entity/Q112983,45,Q112983
http://www.wikidata.org/entity/Q113603,7,Q113603
http://www.wikidata.org/entity/Q114106,6,Q114106
http://www.wikidata.org/entity/Q114375,7,Q114375
http://www.wikidata.org/entity/Q114380,19,Q114380
http://www.wikidata.org/entity/Q114581,25,Q114581
http://www.wikidata.org/entity/Q114699,7,Q114699
http://www.wikidata.org/entity/Q114768,3377,Q114768
http://www.wikidata.org/entity/Q114953,11,Q114953
http://www.wikidata.org/entity/Q115278,27,Q115278
http://www.wikidata.org/entity/Q115291,18,Q115291
http://www.wikidata.org/entity/Q115488,18,Q115488
http://www.wikidata.org/entity/Q115518,12,Q115518
http://www.wikidata.org/entity/Q115940,11,Q115940
http://www.wikidata.org/entity/Q116135,15,Q116135
http://www.wikidata.org/entity/Q116634,19,Q116634
http://www.wikidata.org/entity/Q117205,10,Q117205
http://www.wikidata.org/entity/Q117247,6,Q117247
http://www.wikidata.org/entity/Q117364,7,Q117364
