class,confidence,name
Q55983715,72.90167865707434,group of organisms known by one particular common name
Q5,72.90167865707434,human
Q16334298,71.94244604316546,group of living things
Q61961344,71.94244604316546,group of physical objects
Q517966,71.94244604316546,structure
Q17553950,71.22302158273382,object
Q16887380,71.22302158273382,group
Q58415929,69.30455635491607,spacio-temporal entity
Q4406616,69.30455635491607,concrete object
Q35120,69.30455635491607,entity
