,0,1,2,3,>4,name
Q58425000,0.0,0.2,0.08571428571428572,0.05714285714285714,0.08571428571428572,United States senate constituency
Q127910,0.08571428571428572,0.2,0.05714285714285714,0.05714285714285714,0.02857142857142857,Department of Transportation
Q28872924,0.0,0.2,0.05714285714285714,0.05714285714285714,0.11428571428571428,designation for an administrative territorial entity of a single country
Q192350,0.08571428571428572,0.2,0.05714285714285714,0.05714285714285714,0.02857142857142857,ministry
Q35657,0.0,0.2,0.08571428571428572,0.05714285714285714,0.08571428571428572,state of the United States
Q2516426,0.08571428571428572,0.2,0.05714285714285714,0.05714285714285714,0.02857142857142857,transport ministry
Q25631158,0.14285714285714285,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.0,highway system
Q737372,0.14285714285714285,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.0,alphanumeric
Q17279032,0.14285714285714285,0.17142857142857143,0.02857142857142857,0.05714285714285714,0.02857142857142857,elected office
Q358078,0.14285714285714285,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.0,road network
Q3241753,0.14285714285714285,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.0,road number
Q2642629,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.0,multigraph
Q30124446,0.2,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.0,legislative building
Q7574076,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.0,spatial network
Q52177058,0.2,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.0,civic building
Q7138926,0.2,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.0,parliament building
Q3284499,0.2,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.0,capitol building
Q141488,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.0,graph
Q294414,0.14285714285714285,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.02857142857142857,public office
Q15617994,0.0,0.14285714285714285,0.05714285714285714,0.08571428571428572,0.14285714285714285,designation for an administrative territorial entity
Q294422,0.17142857142857143,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.0,public building
Q1220959,0.2,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.0,building of public administration
Q16686022,0.22857142857142856,0.11428571428571428,0.05714285714285714,0.0,0.02857142857142857,natural physical object
Q3914,0.3142857142857143,0.11428571428571428,0.0,0.0,0.0,school
Q1021645,0.2,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.0,office building
Q15474042,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,MediaWiki page
Q1030034,0.2571428571428571,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.0,GLAM
Q58494026,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,Wikimedia page
Q17379835,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,Wikimedia page outside the main knowledge tree
Q17442446,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,Wikimedia internal item
Q1260632,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,content
Q36774,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,web page
Q16831714,0.2,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.0,government building
Q2519340,0.2,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.0,administrative building
Q1293220,0.22857142857142856,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.02857142857142857,physical phenomenon
Q1209283,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,electronic media
Q62626341,0.2571428571428571,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.0,cultural organization
Q5358404,0.2,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,electronic page
Q29651224,0.22857142857142856,0.11428571428571428,0.05714285714285714,0.0,0.02857142857142857,natural object
Q5260216,0.2571428571428571,0.11428571428571428,0.0,0.05714285714285714,0.0,Department of Corrections
Q17320256,0.22857142857142856,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.02857142857142857,physical process
Q5193377,0.2571428571428571,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.0,cultural institution
Q15989253,0.2,0.08571428571428572,0.0,0.0,0.14285714285714285,part
Q7887142,0.08571428571428572,0.08571428571428572,0.0,0.0,0.2571428571428571,unit of analysis
Q15936437,0.3142857142857143,0.08571428571428572,0.0,0.0,0.02857142857142857,research university
Q41298,0.2857142857142857,0.08571428571428572,0.02857142857142857,0.0,0.02857142857142857,magazine
Q194980,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.2,intangible good
Q874405,0.08571428571428572,0.08571428571428572,0.0,0.02857142857142857,0.22857142857142856,social group
Q23004361,0.34285714285714286,0.08571428571428572,0.0,0.0,0.0,specialized educational institution
Q486972,0.08571428571428572,0.08571428571428572,0.0,0.05714285714285714,0.2,human settlement
Q618779,0.3142857142857143,0.08571428571428572,0.0,0.0,0.02857142857142857,award
Q33506,0.2857142857142857,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.0,museum
Q23764314,0.34285714285714286,0.08571428571428572,0.0,0.0,0.0,sports location
Q451967,0.2857142857142857,0.08571428571428572,0.0,0.0,0.05714285714285714,human action
Q3769299,0.2857142857142857,0.08571428571428572,0.0,0.0,0.05714285714285714,human behaviour
Q4167410,0.22857142857142856,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.05714285714285714,Wikimedia disambiguation page
Q2659904,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.0,0.2,government organization
