class,confidence
group of organisms known by one particular common name,56.50557620817844
human,56.50557620817844
group of living things,55.762081784386616
group of physical objects,55.762081784386616
structure,55.762081784386616
object,55.20446096654275
group,55.20446096654275
spacio-temporal entity,53.71747211895911
concrete object,53.71747211895911
entity,53.71747211895911
