class,confidence
county of Alabama,85.45454545454545
family name,67.27272727272727
like a city,49.09090909090909
designation for an administrative territorial entity,41.81818181818181
class (set theory),40.0
disease,40.0
city of the United States,40.0
county of Tennessee,38.18181818181817
fictional humanoid,38.18181818181817
legal person,36.36363636363637
